Name,GrammyAward, DB Row , Peak_chart , Week_chart ,Genre
iSpy,0," 1,061 ", 4 , 30 ,Pop
0.197222222,0," 1,063 ", 35 , 2 ,Soul
Crying In The Club,0," 1,064 ", 47 , 9 ,Tropical House
A Lie,0," 1,065 ", -   , -   ,Rap
Every Time I Hear That Song,0," 1,066 ", 56 , 11 ,Country
Jerika,0," 1,067 ", -   , -   ,Pop
The Cure,0," 1,068 ", 39 , 14 ,Pop
Weak,0," 1,069 ", 73 , 11 ,Trap
Rollin,0," 1,071 ", 62 , 4 ,UK
Element.,0," 1,072 ", 16 , 11 ,Producer
Bam,0," 1,073 ", -   , -   ,Rap
Hurricane,0," 1,074 ", 31 , 22 ,Country
Family Feud,0," 1,075 ", -   , -   ,Rap
Kill Jay Z,0," 1,076 ", -   , -   ,Rap
Smile,0," 1,077 ", -   , -   ,Rap
Caught Their Eyes,0," 1,078 ", -   , -   ,Rap
Marcy Me,0," 1,079 ", -   , -   ,Rap
Get Low,0," 1,080 ", -   , -   ,UK
Goosebumps,0," 1,081 ", 32 , 34 ,Memes
T,0," 1,082 ", 19 , 25 ,Hip-Hop
Tunnel Vision,0," 1,083 ", 6 , 20 ,Producer
Sign Of The Times,0," 1,084 ", 4 , 13 ,Ballad
Who Dat Boy,0," 1,085 ", -   , -   ,Trap
Portland,0," 1,086 ", 9 , 16 ,Motown
Losin Control,0," 1,087 ", 62 , 19 ,R&;B
Extra Luv,0," 1,088 ", -   , -   ,Atlanta
How Not To,0," 1,089 ", 57 , 14 ,Country
Don't Quit,0," 1,090 ", -   , -   ,Rap
To The Max,0," 1,091 ", 53 , 4 ,R&;B
If I Told You,0," 1,092 ", 53 , 11 ,Country
On Everything,0," 1,093 ", -   , -   ,Trap
Cold,0," 1,094 ", 16 , 20 ,Rap
Good Drank,0," 1,095 ", 70 , 16 ,Atlanta
Shining,0," 1,096 ", 57 , 14 ,R&;B
Scars To Your Beautiful,0," 1,097 ", 8 , 43 ,Pop
Look At Me!,0," 1,098 ", 34 , 20 ,Memes
My Old Man,0," 1,099 ", 68 , 4 ,Country
Nobody Else But You,0," 1,100 ", 92 , 3 ,R&;B
Real Hitta,0," 1,101 ", -   , -   ,Rap
Swang,0," 1,102 ", 26 , 26 ,Memes
Bon Appetit,0," 1,103 ", 59 , 6 ,Dance-Pop
Black,0," 1,104 ", 56 , 19 ,Country
Hometown Girl,0," 1,105 ", 56 , 16 ,Country
Gyalchester,0," 1,106 ", 29 , 11 ,Rap
Rockabye,0," 1,107 ", 9 , 27 ,Tropical House
Peek A Boo,0," 1,108 ", 78 , 4 ,Comedy
Met Gala,0," 1,109 ", 88 , 2 ,Trap
Scared To Be Lonely,0," 1,110 ", 76 , 14 ,Electro-Pop
Human,0," 1,111 ", 74 , 7 ,Adult Alternative
Paris,0," 1,112 ", 6 , 20 ,EDM
Somethin Tells Me,0," 1,113 ", -   , -   ,Dancehall
Me Enamore,0," 1,114 ", 83 , 2 ,Latin Music
Self,0," 1,115 ", -   , -   ,Dark Pop
Don't Get Too High,0," 1,116 ", -   , -   ,Singer-Songwriter
Run Me Dry,0," 1,117 ", -   , -   ,Trap
There For You,0," 1,118 ", -   , -   ,Dance-Pop
No Longer Friends,0," 1,119 ", -   , -   ,Conscious Hip-Hop
Strangers,0," 1,120 ", -   , -   ,Alternative Pop
Money On You,0," 1,121 ", -   , -   ,Pop
Chained To The Rhythm,0," 1,122 ", 4 , 15 ,Disco
At My Best,0," 1,123 ", 60 , 8 ,Pop
Boy,0," 1,124 ", -   , -   ,Country
Any Ol' Barstool,0," 1,126 ", 52 , 18 ,Country
Love On The Brain,0," 1,127 ", 5 , 31 ,Doo-Wop
Both,0," 1,128 ", 41 , 22 ,Trap
I Feel It Coming,0," 1,129 ", 4 , 26 ,Alternative R&;B
I Don't Wanna Live Forever,0," 1,130 ", 2 , 23 ,R&;B
Bounce Back,0," 1,131 ", 6 , 28 ,Trap
Prblms,0," 1,132 ", 72 , 8 ,Alternative R&;B
Yeah Boy,0," 1,133 ", 65 , 13 ,Country
Cake,0," 1,135 ", 73 , 6 ,Rap
Everybody,0," 1,136 ", 59 , 2 ,DMV
Galway Girl,0," 1,137 ", 53 , 5 ,Folk
Moves,0," 1,138 ", 38 , 19 ,Trap
First Time,0," 1,140 ", -   , -   ,Electronic
XXX.,0," 1,141 ", 33 , 3 ,Conscious Hip-Hop
Party,0," 1,142 ", 40 , 20 ,Trap
Yah.,0," 1,143 ", 32 , 3 ,Producer
Sweet Creature,0," 1,144 ", -   , -   ,Folk Rock
Selfish,0," 1,145 ", 37 , 10 ,Atlanta
Call On Me,0," 1,146 ", 65 , 18 ,Dance
You're Welcome,0," 1,147 ", 65 , 13 ,Disney
Lust For Life,0," 1,148 ", -   , -   ,Dream-Pop
Feel.,0," 1,149 ", 35 , 2 ,Producer
Pride.,0," 1,150 ", 37 , 2 ,Ballad
Lust.,0," 1,151 ", 42 , 2 ,News
Still Got Time,0," 1,152 ", 66 , 3 ,UK
Green Light,0," 1,153 ", 19 , 9 ,Power Pop
Hard Times,0," 1,155 ", -   , -   ,Adult Alternative
Fear.,0," 1,156 ", 50 , 2 ,Gospel
No Frauds,0," 1,157 ", 14 , 7 ,Beef
God.,0," 1,158 ", 58 , 2 ,Gospel
Deja Vu,0," 1,159 ", 7 , 20 ,Trap
Blood.,0," 1,160 ", -   , -   ,Electro-Hop
Dirt On My Boots,0," 1,161 ", 37 , 20 ,Country
Duckworth.,0," 1,162 ", -   , -   ,G-Funk
Black SpiderMan,0," 1,163 ", -   , -   ,DMV
Starboy,0," 1,164 ", 1 , 30 ,Alternative R&;B
Don't Wanna Know,0," 1,165 ", 6 , 27 ,Rap
Play That Song,0," 1,166 ", 41 , 20 ,Pop
Free Smoke,0," 1,167 ", 18 , 4 ,Neo Soul
Road Less Traveled,0," 1,168 ", 67 , 12 ,Country
The One,0," 1,169 ", 78 , 2 ,Dance
Draco,0," 1,170 ", 46 , 8 ,Atlanta
Blem,0," 1,171 ", 38 , 4 ,Dancehall
Think A Little Less,0," 1,172 ", 54 , 16 ,Country
Teenage Fever,0," 1,173 ", 35 , 4 ,Canada
Bar At The End Of The World,0," 1,174 ", -   , -   ,Country
Million Reasons,0," 1,175 ", 4 , 20 ,Pop Country
Water Under The Bridge,0," 1,176 ", 26 , 22 ,Adult Alternative
Bad Things,0," 1,177 ", 4 , 23 ,Rap
Speak To A Girl,0," 1,178 ", 61 , 2 ,Ballad
Tin Man,0," 1,179 ", -   , -   ,Country
The Heart Part 4,0," 1,180 ", 22 , 2 ,Trap
Sacrifices,0," 1,181 ", 36 , 3 ,Canada
Conscience,0," 1,182 ", -   , -   ,Trap
Heatstroke,0," 1,183 ", -   , -   ,Dance
Get It Together,0," 1,184 ", 45 , 2 ,Afrobeats
No Long Talk,0," 1,185 ", 40 , 2 ,Trap
KMT,0," 1,186 ", 48 , 2 ,Memes
4422,0," 1,187 ", 50 , 2 ,UK
Jorja Interlude,0," 1,188 ", 49 , 2 ,Trap
Madiba Riddim,0," 1,189 ", 51 , 2 ,Pop
Ice Melts,0," 1,190 ", 62 , 2 ,Trap
Do Not Disturb,0," 1,191 ", 60 , 2 ,Canada
Glow,0," 1,192 ", 54 , 2 ,R&;B
Can't Have Everything,0," 1,193 ", 82 , 2 ,Canada
Party Monster,0," 1,194 ", 16 , 19 ,Canada
Nothings Into Somethings,0," 1,195 ", 61 , 2 ,Canada
Let Me Love You,0," 1,196 ", 4 , 33 ,Electro-Pop
Lose You,0," 1,197 ", -   , -   ,Canada
Since Way Back,0," 1,198 ", -   , -   ,R&;B
Make Me,0," 1,199 ", 46 , 15 ,UK
Skepta Interlude,0," 1,200 ", -   , -   ,Grime
Trap Trap Trap,0," 1,201 ", -   , -   ,Trap
Black Beatles,0," 1,202 ", 1 , 27 ,Hip-Hop
Heathens,0," 1,203 ", 2 , 39 ,Electronic Rock
Caroline,0," 1,204 ", 11 , 28 ,Rap
Regret In Your Tears,0," 1,205 ", -   , -   ,Dancehall
Changed It,0," 1,207 ", -   , -   ,Rap
Liability,0," 1,208 ", -   , -   ,Alternative Pop
I Got You,0," 1,209 ", 43 , 11 ,House
Dive,0," 1,210 ", 49 , 2 ,UK
Sober Saturday Night,0," 1,211 ", 47 , 11 ,Country
Today,0," 1,212 ", 67 , 11 ,Country
Comin Out Strong,0," 1,213 ", 48 , 3 ,Atlanta
Chantaje,0," 1,214 ", 51 , 18 ,Latin Music
All Time Low,0," 1,215 ", 16 , 22 ,Electro-Pop
Side To Side,0," 1,216 ", 4 , 28 ,Reggae
New Man,0," 1,217 ", -   , -   ,UK
Supermarket Flowers,0," 1,218 ", -   , -   ,UK
What Do I Know?,0," 1,219 ", -   , -   ,UK
How Would You Feel,0," 1,220 ", 41 , 2 ,UK
Eraser,0," 1,221 ", -   , -   ,UK
Used To This,0," 1,222 ", 14 , 18 ,Atlanta
Hearts Don't Break Around Here,0," 1,223 ", -   , -   ,UK
Barcelona,0," 1,224 ", -   , -   ,UK
Star Of The Show,0," 1,225 ", 45 , 19 ,Country
A Guy With A Girl,0," 1,226 ", 42 , 17 ,Country
Treat You Better,0," 1,227 ", 6 , 39 ,Canada
Cash Me Outside,0," 1,228 ", 72 , 3 ,Memes
Love,0," 1,229 ", 44 , 2 ,Indie Rock
No Heart,0," 1,230 ", 43 , 19 ,Atlanta
Make Love,0," 1,231 ", -   , -   ,Trap
Love Me Now,0," 1,232 ", 23 , 19 ,Soundtrack
Not Nice,0," 1,233 ", 82 , 7 ,Dancehall
This Town,0," 1,234 ", 20 , 22 ,Adult Alternative
Rent Money,0," 1,235 ", -   , -   ,Atlanta
Guys My Age,0," 1,236 ", 68 , 5 ,Pop
Seein' Red,0," 1,237 ", 55 , 9 ,Country
Super Trapper,0," 1,238 ", -   , -   ,Atlanta
Dancing On My Own,0," 1,239 ", 93 , 2 ,Cover
No Favors,0," 1,240 ", 22 , 3 ,Rap
Zoom,0," 1,241 ", -   , -   ,Trap
Starving,0," 1,242 ", 12 , 29 ,Dance-Pop
Juju On That Beat,0," 1,243 ", 5 , 21 ,Memes
Bom Bidi Bom,0," 1,244 ", -   , -   ,Rap
Helium,0," 1,245 ", -   , -   ,Soundtrack
Heroe Favorito,0," 1,246 ", -   , -   ,En Espa\xc3\xb1ol
Way Down We Go,0," 1,247 ", 54 , 8 ,Alternative
Everything 1K,0," 1,248 ", -   , -   ,Rap
Wanna Be That Song,0," 1,249 ", 46 , 20 ,Country
Sex With Me,0," 1,250 ", 83 , 15 ,Pop
Some Kind Of Drug,0," 1,251 ", 97 , 3 ,Rap
Cheap Thrills,0," 1,252 ", 1 , 52 ,Jamaica
The Greatest,0," 1,254 ", 18 , 23 ,Australia
HandClap,0," 1,256 ", 53 , 20 ,Adult Alternative
Halfway Off The Balcony,0," 1,257 ", -   , -   ,Rap
Jump Out The Window,0," 1,258 ", -   , -   ,Trap
Owe Me,0," 1,259 ", -   , -   ,Rap
Beauty And The Beast,0," 1,260 ", -   , -   ,Ballad
I Don't,0," 1,261 ", -   , -   ,R&;B
80s Mercedes,0," 1,262 ", 74 , 13 ,Country
Light,0," 1,263 ", -   , -   ,Rap
Kelly Price,0," 1,264 ", 58 , 2 ,Trap
Blue Ain't Your Color,0," 1,265 ", 24 , 21 ,Country
Call Casting,0," 1,266 ", -   , -   ,Trap
Run Up,0," 1,267 ", -   , -   ,Electro-Pop
I'm Better,0," 1,268 ", -   , -   ,Rap
Get Right Witcha,0," 1,269 ", -   , -   ,Trap
If The Boot Fits,0," 1,270 ", 80 , 3 ,Country
Dirty Laundry,0," 1,271 ", 48 , 16 ,Country
Fresh Eyes,0," 1,272 ", 59 , 18 ,Pop
Culture,0," 1,273 ", -   , -   ,Trap
Chill Bill,0," 1,274 ", 29 , 26 ,Rap
Love On The Weekend,0," 1,275 ", 53 , 2 ,Producer
Sneakin',0," 1,276 ", 28 , 14 ,Producer
Song For Another Time,0," 1,277 ", 59 , 18 ,Country
Say It,0," 1,278 ", 60 , 4 ,Australia
Water,0," 1,279 ", 80 , 4 ,Trap
Running Back,0," 1,280 ", -   , -   ,Trap
You Was Right,0," 1,281 ", 40 , 28 ,East Coast
In The Name Of Love,0," 1,282 ", 24 , 23 ,Nederland
Not Afraid Anymore,0," 1,283 ", -   , -   ,Dance
Red Opps,0," 1,284 ", 74 , 5 ,Trap
Neighbors,0," 1,285 ", 13 , 6 ,Hip-Hop
Timeless,0," 1,286 ", 86 , 4 ,Rap
Parachute,0," 1,287 ", 78 , 5 ,Country
All We Know,0," 1,288 ", 18 , 16 ,Dance
Just Hold On,0," 1,289 ", 52 , 6 ,Dance-Pop
Beibs In The Trap,0," 1,290 ", 90 , 3 ,Cloud Rap
OOOUUU,0," 1,291 ", 19 , 20 ,Rap
May We All,0," 1,292 ", 30 , 20 ,Pop Country
Sleep Without You,0," 1,293 ", 47 , 18 ,Country
Drinkin' Too Much,0," 1,294 ", -   , -   ,Country
Immortal,0," 1,295 ", 11 , 5 ,Rap
What They Want,0," 1,296 ", 83 , 8 ,Producer
Unsteady,0," 1,297 ", 20 , 34 ,Adult Alternative
Too Much Sauce,0," 1,298 ", 50 , 20 ,East Coast
How I'll Always Be,0," 1,299 ", 70 , 12 ,Country
Hallelujah,0," 1,300 ", 23 , 11 ,A Cappella
Shaky Shaky,0," 1,301 ", 88 , 2 ,En Espa\xc3\xb1ol
Key To The Streets,0," 1,302 ", 70 , 11 ,Rap
We Know The Way,0," 1,303 ", 93 , 2 ,Disney
Careless Whisper,0," 1,304 ", 1 , 22 ,Eighties
Faith,0," 1,305 ", 1 , 21 ,Blue-Eyed Soul
Pick Up The Phone,0," 1,306 ", 43 , 20 ,Atlanta
No Flockin,0," 1,307 ", -   , -   ,Trap
Black Barbies,0," 1,308 ", 65 , 2 ,Remix
Hate U Love U,0," 1,309 ", -   , -   ,Pop
"Mary, Did You Know?",0," 1,310 ", 26 , 7 ,Pop
Do You Mind,0," 1,311 ", 27 , 20 ,DMV
Change,0," 1,312 ", 21 , 2 ,Boom Bap
Ville Mentality,0," 1,313 ", 24 , 2 ,Rap
For Whom The Bell Tolls,0," 1,314 ", 23 , 2 ,Rap
Six Feet Under,0," 1,315 ", 34 , 4 ,Canada
Sidewalks,0," 1,316 ", 27 , 4 ,West Coast
Foldin Clothes,0," 1,317 ", 30 , 2 ,Neo Soul
4 Your Eyez Only,0," 1,318 ", -   , -   ,Boom Bap
False Prophets,0," 1,319 ", 54 , 2 ,Boom Bap
Everybody Dies,0," 1,320 ", -   , -   ,Boom Bap
Come And See Me,0," 1,321 ", 55 , 24 ,Pop
Setting The World On Fire,0," 1,322 ", 29 , 20 ,Country
Die For You,0," 1,323 ", 43 , 3 ,Canada
This Is What You Came For,0," 1,324 ", 3 , 32 ,Electro House
Ride,0," 1,325 ", 5 , 39 ,Soundtrack
Needed Me,0," 1,326 ", 7 , 45 ,Pop
One Dance,0," 1,327 ", 1 , 36 ,Nigeria
Tiimmy Turner,0," 1,328 ", 34 , 20 ,Horrorcore
Secrets,0," 1,329 ", 47 , 2 ,Canada
Me And Your Mama,0," 1,330 ", 68 , 2 ,Alternative R&;B
True Colors,0," 1,331 ", 48 , 2 ,Canada
Middle Of A Memory,0," 1,332 ", 46 , 20 ,Country
Rockin',0," 1,333 ", 44 , 2 ,Canada
All I Know,0," 1,334 ", 46 , 2 ,Canada
That's My Girl,0," 1,335 ", 73 , 3 ,Teen Pop
False Alarm,0," 1,336 ", 55 , 4 ,Canada
Ordinary Life,0," 1,337 ", 72 , 2 ,Canada
Stargirl Interlude,0," 1,338 ", -   , -   ,Canada
Nothing Without You,0," 1,339 ", -   , -   ,Canada
Love To Lay,0," 1,340 ", -   , -   ,Canada
Distraction,0," 1,341 ", -   , -   ,R&;B
A Little More Summertime,0," 1,342 ", 52 , 13 ,Country
Fade,0," 1,343 ", 47 , 13 ,West Coast
Capsize,0," 1,344 ", 78 , 10 ,Pop
Gold,0," 1,345 ", 13 , 27 ,Glitch
Panda,0," 1,346 ", 1 , 40 ,UK
Luv,0," 1,347 ", 19 , 22 ,Dancehall
My Way,0," 1,348 ", 24 , 10 ,Tropical House
Ain't My Fault,0," 1,349 ", 76 , 7 ,Scandinavia
Move,0," 1,350 ", 50 , 14 ,Country
Slumber Party,0," 1,351 ", -   , -   ,Remix
Vice,0," 1,352 ", 47 , 19 ,Country
Litty,0," 1,353 ", 49 , 4 ,Trap
Greenlight,0," 1,354 ", 95 , 4 ,Rap
Infinite,0," 1,355 ", -   , -   ,Rap
Too Good,0," 1,357 ", 14 , 29 ,Dancehall
We Don't Talk Anymore,0," 1,358 ", 9 , 24 ,Pop
We The People....,0," 1,359 ", -   , -   ,Conscious Hip-Hop
Setting Fires,0," 1,360 ", 71 , 2 ,Electro-Pop
It Don't Hurt Like It Used To,0," 1,361 ", 44 , 17 ,Country
Shout Out To My Ex,0," 1,362 ", 69 , 3 ,Dance-Pop
Wishing,0," 1,363 ", 77 , 14 ,West Coast
"Sit Still, Look Pretty",0," 1,364 ", 28 , 24 ,Pop
Money Longer,0," 1,365 ", 54 , 22 ,East Coast
I Know Somebody,0," 1,366 ", 52 , 11 ,Country
All Eyez,0," 1,367 ", 79 , 5 ,R&;B
Wat U Mean,0," 1,368 ", 66 , 17 ,Trap
Hold Up,0," 1,369 ", 13 , 14 ,Pop
Gangsta,0," 1,370 ", 41 , 12 ,R&;B
Hymn For The Weekend,0," 1,371 ", 25 , 23 ,UK
Froze,0," 1,372 ", -   , -   ,Trap
Offended,0," 1,373 ", -   , -   ,Atlanta
"Two Birds, One Stone",0," 1,374 ", -   , -   ,Canada
On The Regular,0," 1,375 ", -   , -   ,Trap
The Difference,0," 1,376 ", -   , -   ,Trap
Blue Notes,0," 1,377 ", -   , -   ,Rap
Blessed Up,0," 1,378 ", -   , -   ,Rap
Cool Girl,0," 1,379 ", 84 , 5 ,Electro
Into You,0," 1,380 ", 13 , 24 ,Electro-Pop
Controlla,0," 1,381 ", 16 , 26 ,Jamaica
Perfect Illusion,0," 1,382 ", 15 , 6 ,Pop
Why You Always Hatin?,0," 1,383 ", 62 , 18 ,Canada
CRZY,0," 1,384 ", 85 , 5 ,R&;B
Lockjaw,0," 1,385 ", 73 , 13 ,Rap
For Free,0," 1,386 ", 13 , 20 ,R&;B
Work From Home,0," 1,387 ", 4 , 34 ,Trap
Blow Your Mind,0," 1,388 ", -   , -   ,Dance-Pop
Different For Girls,0," 1,389 ", 42 , 20 ,Country
THat Part,0," 1,390 ", 40 , 20 ,Trap
All In My Head,0," 1,391 ", 24 , 18 ,Tropical House
Rock On,0," 1,392 ", 62 , 10 ,Country
I Met A Girl,0," 1,393 ", 60 , 9 ,Country
I Got The Keys,0," 1,394 ", 30 , 17 ,Cloud Rap
Just Like Fire,0," 1,395 ", 10 , 26 ,Pop
You Don't Own Me,0," 1,396 ", 57 , 20 ,West Coast
Peter Pan,0," 1,397 ", 35 , 20 ,Country
Kids,0," 1,398 ", -   , -   ,Electro-Pop
Forever Country,0," 1,399 ", 21 , 4 ,Country
Low Life,0," 1,401 ", 18 , 35 ,Atlanta
Make You Miss Me,0," 1,402 ", 45 , 19 ,Rock
Don't Touch My Hair,0," 1,403 ", -   , -   ,R&;B
LIFTED,0," 1,404 ", -   , -   ,Pop
Work,0," 1,405 ", 1 , 36 ,Producer
I Took A Pill In Ibiza,0," 1,406 ", 4 , 37 ,Singer-Songwriter
Never Be Like You,0," 1,407 ", 20 , 26 ,Future Bass
H.O.L.Y.,0," 1,408 ", 14 , 22 ,Country
Mama Said,0," 1,409 ", 36 , 11 ,Scandinavia
Me Too,0," 1,410 ", 13 , 20 ,Pop
Purple Lamborghini,0," 1,411 ", 33 , 10 ,Pop
You Look Like I Need A Drink,0," 1,412 ", 79 , 8 ,Country
No Shopping,0," 1,413 ", 36 , 11 ,Canada
7 Years,0," 1,414 ", 2 , 36 ,Pop-Rock
Cancer,0," 1,415 ", -   , -   ,Cover
My PYT,0," 1,416 ", 54 , 15 ,R&;B
Grass Ain't Greener,0," 1,417 ", 71 , 4 ,Trap
Don't Mind,0," 1,419 ", 8 , 20 ,Rap
Rise,0," 1,420 ", 11 , 9 ,Electronic
Make Me...,0," 1,421 ", 17 , 9 ,Electro-Pop
She's Got A Way With Words,0," 1,422 ", 61 , 12 ,Country
American Country Love Song,0," 1,423 ", 55 , 17 ,Country
Sorry,0," 1,424 ", 11 , 20 ,R&;B
From The Ground Up,0," 1,425 ", 48 , 16 ,Country
Kill Em With Kindness,0," 1,426 ", 39 , 15 ,Electro
Cake By The Ocean,0," 1,427 ", 9 , 46 ,Pop-Rock
Wicked,0," 1,428 ", 41 , 20 ,Atlanta
Wyclef Jean,0," 1,429 ", -   , -   ,Atlanta
Record Year,0," 1,430 ", 44 , 20 ,Country
Duele El Corazon,0," 1,431 ", 82 , 8 ,En Espa\xc3\xb1ol
Church Bells,0," 1,432 ", 43 , 17 ,Pop
Love Yourself,0," 1,433 ", 1 , 41 ,UK
Nikes,0," 1,434 ", -   , -   ,R&;B
Ivy,0," 1,435 ", -   , -   ,R&;B
Nights,0," 1,436 ", -   , -   ,R&;B
Uber Everywhere,0," 1,437 ", 51 , 20 ,Rap
Hit Or Miss,0," 1,438 ", 72 , 2 ,Rap
Fix,0," 1,439 ", 65 , 12 ,Country
Toothbrush,0," 1,440 ", 44 , 10 ,Pop
Lights Come On,0," 1,441 ", 43 , 19 ,Country
Castaway,0," 1,442 ", 96 , 2 ,Country
No Money,0," 1,443 ", 88 , 5 ,Dance
Wasted Time,0," 1,444 ", 51 , 17 ,Country
Head Over Boots,0," 1,446 ", 51 , 24 ,Country
All The Way Up,0," 1,447 ", 27 , 20 ,Rap
"Huntin', Fishin' & Lovin' Every Day",0," 1,448 ", 37 , 20 ,Country
My House,0," 1,449 ", 4 , 39 ,Pop
Dangerous Woman,0," 1,450 ", 8 , 21 ,Pop-Rock
Lush Life,0," 1,451 ", 75 , 3 ,Bounce
Holy Key,0," 1,452 ", -   , -   ,Soul
Brand New,0," 1,453 ", 82 , 5 ,Pop
Wherever I Go,0," 1,454 ", 55 , 12 ,Pop-Rock
Back On Road,0," 1,455 ", -   , -   ,Trap
Lost Boy,0," 1,456 ", 24 , 22 ,Ballad
Never Forget You,0," 1,457 ", 13 , 23 ,Scandipop
Girls Talk Boys,0," 1,458 ", -   , -   ,Australia
Body Say,0," 1,459 ", -   , -   ,Pop
No,0," 1,460 ", 3 , 20 ,Memes
Night's On Fire,0," 1,461 ", 81 , 5 ,Country
Ophelia,0," 1,462 ", 66 , 12 ,Piano
Pillowtalk,0," 1,463 ", 1 , 24 ,Alternative R&;B
"Me, Myself & I",0," 1,464 ", 7 , 37 ,Pop
Love Make The World Go Round,0," 1,465 ", -   , -   ,Charity
Noise,0," 1,466 ", 72 , 14 ,Country
Came Here To Forget,0," 1,467 ", 36 , 19 ,Country
Bored To Death,0," 1,468 ", 85 , 2 ,Pop-Rock
La Bicicleta,0," 1,469 ", -   , -   ,En Espa\xc3\xb1ol
Cut It,0," 1,470 ", 35 , 20 ,Rap
Oui,0," 1,471 ", 19 , 27 ,R&;B
Wild Things,0," 1,472 ", 50 , 20 ,Canada
The Sound Of Silence,0," 1,473 ", 42 , 20 ,Folk Rock
Messin' Around,0," 1,474 ", 64 , 8 ,Trap
Still Here,0," 1,475 ", 40 , 10 ,Canada
Hype,0," 1,476 ", 33 , 10 ,Trap
Flexicution,0," 1,477 ", -   , -   ,Trap
Really Really,0," 1,478 ", 46 , 26 ,Rap
Grammys,0," 1,479 ", 38 , 9 ,Trap
Try Everything,0," 1,480 ", 63 , 9 ,Disney
Dark Necessities,0," 1,481 ", 67 , 2 ,Adult Alternative
2 Phones,0," 1,482 ", 17 , 25 ,Memes
Ain't No Stopping Us Now,0," 1,484 ", -   , -   ,Country
Kiss It Better,0," 1,485 ", 62 , 12 ,Synth Rock
Exchange,0," 1,486 ", 26 , 34 ,Boom Bap
Somewhere On A Beach,0," 1,487 ", 35 , 20 ,Country
Sweatshirt,0," 1,488 ", -   , -   ,Memes
With You,0," 1,489 ", 47 , 7 ,Canada
Might Not,0," 1,490 ", 68 , 17 ,Canada
Faded,0," 1,491 ", 80 , 8 ,Progressive House
Middle,0," 1,492 ", 20 , 21 ,Gaming
Snapback,0," 1,494 ", 50 , 20 ,Country
Nothing Is Promised,0," 1,495 ", -   , -   ,Pop
Mind Reader,0," 1,496 ", 57 , 16 ,Country
Formation,0," 1,497 ", 10 , 7 ,R&;B
Feel No Ways,0," 1,498 ", 53 , 6 ,Hip-Hop
Law,0," 1,499 ", 79 , 9 ,Rap
Piece By Piece,0," 1,500 ", 8 , 15 ,Electro-Pop
Moolah,0," 1,501 ", 85 , 9 ,Rap
If It Ain't Love,0," 1,503 ", 67 , 8 ,R&;B
9,0," 1,504 ", 45 , 5 ,Canada
One Call Away,0," 1,505 ", 12 , 26 ,Pop
U With Me?,0," 1,506 ", 44 , 4 ,Canada
Fire & Desire,0," 1,507 ", 75 , 4 ,Canada
Redemption,0," 1,508 ", 61 , 3 ,Canada
Down That Road,0," 1,509 ", -   , -   ,Country
Stitches,0," 1,510 ", 4 , 52 ,Pop
Don't,0," 1,511 ", 13 , 34 ,Boom Bap
Weston Road Flows,0," 1,512 ", 54 , 2 ,Canada
Keep The Family Close,0," 1,513 ", 68 , 2 ,Ballad
Faithful,0," 1,514 ", 72 , 2 ,Canada
Blessings,0," 1,515 ", -   , -   ,Gospel
Promise,0," 1,516 ", 57 , 14 ,Rap
Go Ahead And Break My Heart,0," 1,517 ", -   , -   ,Country
Ain't Your Mama,0," 1,518 ", 76 , 2 ,Pop
6 Inch,0," 1,519 ", 18 , 3 ,Canada
I Like The Sound Of That,0," 1,520 ", 52 , 16 ,Country
Confession,0," 1,521 ", 53 , 20 ,Country
Team,0," 1,522 ", 42 , 8 ,Aussie Hip-Hop
Don't Hurt Yourself,0," 1,523 ", 28 , 2 ,Pop-Rock
All Night,0," 1,524 ", 38 , 2 ,Pop
Freedom,0," 1,525 ", 35 , 2 ,West Coast
Daddy Lessons,0," 1,526 ", 41 , 2 ,Country
Pray You Catch Me,0," 1,527 ", 37 , 2 ,Pop
Sandcastles,0," 1,528 ", 43 , 2 ,Ballad
Love Drought,0," 1,529 ", 47 , 2 ,R&;B
Views,0," 1,530 ", -   , -   ,Canada
Summer Sixteen,0," 1,531 ", 6 , 14 ,Beef
Purple Rain,0," 1,532 ", 2 , 18 ,Eighties
When Doves Cry,0," 1,533 ", 1 , 23 ,Eighties
Little Red Corvette,0," 1,534 ", 6 , 24 ,Synth-Pop
Kiss,0," 1,535 ", 1 , 20 ,Pop
Let's Go Crazy,0," 1,536 ", 1 , 21 ,Soundtrack
1999,0," 1,537 ", 12 , 30 ,Dance
Raspberry Beret,0," 1,538 ", 2 , 18 ,Eighties
I Would Die 4 U,0," 1,539 ", 8 , 16 ,Eighties
Jumpman,0," 1,540 ", 12 , 32 ,Trap
Forward,0," 1,541 ", -   , -   ,R&;B
Back To Sleep,0," 1,542 ", 20 , 20 ,Pop
You Should Be Here,0," 1,543 ", 31 , 20 ,Country
New Level,0," 1,544 ", 90 , 3 ,Atlanta
Company,0," 1,545 ", 53 , 12 ,Electronic
Acquainted,0," 1,546 ", 60 , 18 ,Canada
That Don't Sound Like You,0," 1,547 ", 64 , 11 ,Country
Hands To Myself,0," 1,548 ", 7 , 20 ,Pop
Down In The DM,0," 1,550 ", 13 , 21 ,Rap
The Hills,0," 1,551 ", 1 , 48 ,Trap
New Romantics,0," 1,552 ", 46 , 8 ,New Wave
Drunk On Your Love,0," 1,553 ", 35 , 15 ,Country
Saved,0," 1,554 ", 81 , 9 ,Rap
Little Bit Of You,0," 1,555 ", 71 , 11 ,Pop
