Name,GrammyAward, DB Row , Peak_chart , Week_chart ,Genre
Girls in their Summer Clothes,1," 4,303 ", -   , -   ,Contemporary Folk
Give My Love to Rose,1, Not Ranked ,  ,  ,
Glory,1," 1,940 ", 49 , 3 ,Civil Rights
God Provides,1, Not Ranked ,  ,  ,
God is Dead?,1, Not Ranked ,  ,  ,
God's Plan,1, 499 , 1 , 36 ,Hip-Hop
Gold Digger,1," 4,817 ", 1 , 39 ,Hip-Hop
Gone Gone Gone (Done Moved on),1, Not Ranked ,  ,  ,
Good Life,1," 1,134 ", 59 , 5 ,Soundtrack
Gravedigger,1, Not Ranked ,  ,  ,
Guerrilla Radio,1," 6,308 ", 69 , 20 ,Rap Rock
Halo,1," 1,711 ", -   , -   ,Screen
Happy (Live),1, Not Ranked ,  ,  ,
Harder Better Faster Stronger,1, Not Ranked ,  ,  ,
He Think i Don't Know,1, Not Ranked ,  ,  ,
He Wasn't Man Enough,1," 6,132 ", 2 , 37 ,Soul
Heaven,2, 114 , -   , -   ,Electro
Hello,3," 1,549 ", 1 , 26 ,Adult Alternative
Here We Go Again,2," 3,835 ", 15 , 9 ,Power Pop
Here to Stay,1," 5,761 ", 72 , 12 ,Metal
Hey Baby,1," 5,831 ", 5 , 20 ,Dancehall
Hey Ya!,1," 5,307 ", 1 , 32 ,Alternative
"Hey, Soul Sister (Live)",1, Not Ranked ,  ,  ,
Holy Spirit,1, Not Ranked ,  ,  ,
Hot House,1, Not Ranked ,  ,  ,
Hot in Herre,1," 5,700 ", 1 , 26 ,Funk
Hotline Bling,2," 1,566 ", 2 , 36 ,Hip-Hop
House of Mercy,1, Not Ranked ,  ,  ,
How Deep is your Love,1," 1,684 ", 27 , 20 ,Deep House
How Far I'll Go,1," 1,154 ", 41 , 20 ,Disney
Humble and Kind,1," 1,483 ", 30 , 20 ,Country
Humble.,2, 905 , 1 , 37 ,Hip-Hop
I'm Like a Bird,1," 5,976 ", 9 , 24 ,R&;B
I'm not Gonna Miss you,1," 2,074 ", -   , -   ,Screen
If We Were Vampires,1, Not Ranked ,  ,  ,
If i Ain't Got you,1," 5,182 ", 4 , 40 ,R&;B
Imagine,1, 259 , 21 , 8 ,Ballad
In My Place,1, Not Ranked ,  ,  ,
Iron Man,1, Not Ranked ,  ,  ,
Is this Love,1, Not Ranked ,  ,  ,
"Is you Is, or is you Ain't (My Baby)",1, Not Ranked ,  ,  ,
It's Five O'clock Somewhere,1," 5,440 ", 17 , 20 ,Country
It's not Right but It's Okay,1," 2,814 ", -   , -   ,Pop
I’m so Lonesome i Could Cry,1, Not Ranked ,  ,  ,
Jesus Children,1, Not Ranked ,  ,  ,
Jesus Walks,1," 5,213 ", 11 , 25 ,Gospel
"Jesus, Take the Wheel",2," 4,812 ", 20 , 24 ,Country
Joanne (where Do you Think You're Goin'?),1, Not Ranked ,  ,  ,
Jolene,1, Not Ranked ,  ,  ,
Just the Way you are,1," 3,125 ", 1 , 48 ,Ballad
Keep on the Sunny Side,1, Not Ranked ,  ,  ,
Kid Sister,1, Not Ranked ,  ,  ,
Killer Diller Blues,1, Not Ranked ,  ,  ,
Lady Marmalade,1," 5,968 ", 1 , 20 ,Cover
Lake by the Ocean,1, Not Ranked ,  ,  ,
Last Name,1," 4,123 ", 19 , 20 ,Country
Lazaretto,1, Not Ranked ,  ,  ,
Let it Go,1," 1,445 ", 16 , 34 ,Ballad
Let's Get it Started,1," 5,175 ", 21 , 20 ,Hip-Hop
Letter to Me,1," 4,248 ", 40 , 20 ,Country
Little Ghetto Boy,1, Not Ranked ,  ,  ,
Little Things,1," 2,579 ", 33 , 18 ,Boy Band
Live Like you Were Dying,2," 5,027 ", 29 , 23 ,Country
Lollipop,1," 3,967 ", 82 , 10 ,Cover
Lonely Boy,2," 2,846 ", 64 , 20 ,Rock
Lose Yourself,2," 5,614 ", 1 , 23 ,Rap Rock
Love Has Come for you,1, Not Ranked ,  ,  ,
Love of My Life (an Ode to Hip Hop),1, Not Ranked ,  ,  ,
Love on Top,1," 2,835 ", 20 , 20 ,R&;B
Lovestoned/i Think She Knows,1, Not Ranked ,  ,  ,
Loyalty.,1, 973 , 14 , 26 ,Pop
Lucky,1," 3,394 ", -   , -   ,Adult Contemporary
Make it Mine,1, Not Ranked ,  ,  ,
Makes Me Wonder,1," 4,378 ", 1 , 26 ,Protest Songs
Man! i Feel Like a Woman!,1," 6,378 ", 23 , 28 ,Pop
Maria Maria,1," 6,206 ", 1 , 26 ,Pop-Rock
Masseduction,1, Not Ranked ,  ,  ,
Mean,2," 3,086 ", 11 , 20 ,Bluegrass
Merry Go 'Round,1," 2,564 ", 63 , 15 ,Country
Messengers,1, Not Ranked ,  ,  ,
Miles Beyond,1, Not Ranked ,  ,  ,
Miss Independent,2," 3,978 ", 7 , 28 ,Swing
Money Maker,1," 4,573 ", 1 , 25 ,Rap
Ms. Jackson,1," 6,044 ", 1 , 23 ,Atlanta
My Apocalypse,1," 4,114 ", -   , -   ,Heavy Metal
My Boo,1," 1,502 ", 27 , 36 ,Memes
My Church,1," 1,493 ", 50 , 20 ,Gospel
My Humps,1," 4,816 ", 3 , 36 ,Dance
My Name is,1, Not Ranked ,  ,  ,
N****s in Paris,2, Not Ranked ,  ,  ,
Need you Now,3," 3,277 ", 62 , 2 ,Cover
Never Alone,1, Not Ranked ,  ,  ,
Never Have to be Alone,1, Not Ranked ,  ,  ,
New Fang,1, Not Ranked ,  ,  ,
Next Big Thing,1, Not Ranked ,  ,  ,
No Greater Love,1, Not Ranked ,  ,  ,
No One,2," 4,191 ", 1 , 39 ,Soul
No Problem,1," 1,356 ", 43 , 26 ,Rap
Not Afraid,1," 3,385 ", 1 , 25 ,Soundtrack
Not Ready to Make Nice,2," 4,537 ", 4 , 24 ,Country
On to the Next One,1," 3,606 ", 37 , 14 ,Rap
Only Girl (in the World),1, Not Ranked ,  ,  ,
Orbits,1, Not Ranked ,  ,  ,
Ordinary People,1," 5,065 ", 24 , 20 ,R&;B
Otis,1," 2,950 ", 12 , 20 ,Rap
Pearls,1, Not Ranked ,  ,  ,
Please Come Home,1, Not Ranked ,  ,  ,
Please Read the Letter,1, Not Ranked ,  ,  ,
Poker Face,1," 3,520 ", 20 , 4 ,TV
Pontoon,1," 2,679 ", 22 , 20 ,Country
Pretty Wings,1," 3,791 ", 33 , 23 ,Neo Soul
Pusher Love Girl,1," 2,561 ", 64 , 2 ,Pop
Put your Lights on,1, Not Ranked ,  ,  ,
Radio Nowhere,1, Not Ranked ,  ,  ,
Radioactive,1," 2,215 ", 3 , 87 ,Adult Alternative
Rather be,1," 1,988 ", 10 , 31 ,Electro-Pop
Really Love,1, Not Ranked ,  ,  ,
Redbone,1, 977 , 12 , 44 ,Alternative R&;B
Redneck Woman,1," 5,249 ", 22 , 20 ,Country
Rehab,3," 3,907 ", -   , -   ,Jazz
Rich Woman,1, Not Ranked ,  ,  ,
Ridin,1, Not Ranked ,  ,  ,
Rolling in the Deep,2," 2,834 ", 1 , 65 ,Pop
Royals,2," 2,210 ", 1 , 44 ,Alternative
Run,1," 2,971 ", -   , -   ,Rock
Run this Town,1," 3,697 ", 2 , 23 ,Rap Rock
Safe & Sound (from the Hunger Games),1, Not Ranked ,  ,  ,
Say,1," 4,149 ", 12 , 28 ,Rock
Say My Name,1," 6,212 ", 1 , 32 ,Pop
Say Something,1, 721 , 9 , 16 ,Contemporary Folk
Scar Tissue,1," 6,360 ", 9 , 29 ,Blues Rock
Scary Monsters and Nice Sprites,1," 2,807 ", 69 , 14 ,Rock
Schism,1," 5,923 ", 67 , 20 ,Progressive Metal
Scream A.k.a. Itchin',1, Not Ranked ,  ,  ,
See that My Grave is Kept Clean,1, Not Ranked ,  ,  ,
Set Fire to the Rain [live],1, Not Ranked ,  ,  ,
Seven Nation Army,1," 2,656 ", -   , -   ,Pop
Sexy Back,1, Not Ranked ,  ,  ,
Shake Ya Tailfeather,1," 5,398 ", 1 , 30 ,Rap
Shallow,2, 42 , 1 , 39 ,Pop Country
Shape of you,1, 836 , 1 , 59 ,Tropical House
She Walks this Earth (Soberana Rosa),1, Not Ranked ,  ,  ,
Shine,2," 5,945 ", 96 , 3 ,Rap
Since u Been Gone,1," 4,947 ", 2 , 46 ,Pop-Rock
Single Ladies (Put a Ring on it),3, Not Ranked ,  ,  ,
Skyfall,1," 2,584 ", 8 , 20 ,Orchestral
Slither,1," 5,231 ", 56 , 20 ,Rock
Smooth,3, 942 , 89 , 7 ,Country
So Amazing,1, Not Ranked ,  ,  ,
Soldier of Love,1," 3,620 ", 52 , 11 ,Soul Pop
Solitary Man,1, Not Ranked ,  ,  ,
Somebody that i Used to Know,2," 2,595 ", 1 , 59 ,Producer
Someone Like you,1," 2,833 ", 1 , 39 ,Easy Listening
Something,1," 5,608 ", 35 , 20 ,Trance
Something in the Water,1," 1,961 ", 24 , 20 ,Christian
Sometimes you Can't Make it on your Own,2," 5,080 ", 97 , 3 ,Ireland
Southside,1, 703 , -   , -   ,Trap
Space Cowboy,1, Not Ranked ,  ,  ,
St. Anger,1, Not Ranked ,  ,  ,
Stay,1, 708 , 17 , 4 ,Folk
Stay with Me (Darkchild Version),2, Not Ranked ,  ,  ,
Stay with Me (by the Sea),1, Not Ranked ,  ,  ,
Staying Power,1, Not Ranked ,  ,  ,
Steve Mcqueen,1," 5,714 ", 88 , 5 ,Country
Stressed Out,1," 1,418 ", 2 , 52 ,Pop-Rock
Stronger,1," 3,420 ", -   , -   ,Cover
Stuck in a Moment you Can't Get Out of,1," 5,869 ", 52 , 20 ,Ireland
Stupid Boy,1," 4,499 ", 43 , 20 ,Country
Sultan’s Curse,1, Not Ranked ,  ,  ,
Sunrise,1," 5,187 ", 89 , 5 ,Pop
